term,year,level,country_code,country_name,school_type,characteristic_desc,characteristic_1,characteristic_2,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_PA_10_exact,enrolments_pa_10_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact,sess_authorised_pa_10_exact,sess_unauthorised_pa_10_exact,sess_overall_percent_pa_10_exact,sess_authorised_percent_pa_10_exact,sess_unauthorised_percent_pa_10_exact,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
six half terms,201617,National,E92000001,England,State-funded secondary,,SEN_primary_need_Speech_language_and_communications_needs,,39920,14069039,842302,576222,266080,6,4.1,1.9,6420,16.1,2146224,430624,246570,184054,20.1,11.5,8.6,405993,55524,11630,4360,1074,5770,.,29917,60549,574817,34439,11348,203892,16156,265835,840652
six half terms,201617,National,E92000001,England,State-funded secondary,,SEN_primary_need_Severe_learning_difficulty,,1890,657602,47761,33059,14702,7.3,5,2.2,390,20.6,129915,27521,16637,10884,21.2,12.8,8.4,21695,4227,549,166,18,429,.,1712,4180,32976,1935,311,11162,1232,14640,47616
six half terms,201617,National,E92000001,England,State-funded secondary,,SEN_primary_need_Specific_learning_difficulty,,74025,25916355,1704918,1202561,502357,6.6,4.6,1.9,13500,18.2,4493614,904496,536353,368143,20.1,11.9,8.2,878232,108432,6979,17143,2825,10603,.,59515,114489,1198218,60806,23084,386443,29915,500248,1698466
six half terms,201617,National,E92000001,England,State-funded secondary,,SEN_primary_need_Visual_impairment,,4475,1571219,103557,77654,25903,6.6,4.9,1.6,845,18.9,284260,55240,37100,18140,19.4,13.1,6.4,52191,13480,1527,904,6,791,.,2171,6222,77292,3992,826,19061,1933,25812,103104
six half terms,201617,National,E92000001,England,State-funded secondary,,SEN_primary_need_Unclassified,,27650,8469732,688792,417471,271321,8.1,4.9,3.2,7385,26.7,1758543,439031,221194,217837,25,12.6,12.4,275648,32912,5114,3526,2220,3886,.,36833,55953,416092,25911,8770,222802,13369,270852,686944
six half terms,201617,National,E92000001,England,State-funded secondary,,First_language_Known_or_believed_to_be_English,,2414480,838794054,46007641,33333378,12674263,5.5,4,1.5,339370,14.1,107456830,21512256,12818320,8693936,20,11.9,8.1,24849656,2963547,200407,530430,57084,344453,.,1332767,2969674,33248018,1953149,503935,9469599,723227,12649910,45897928
six half terms,201617,National,E92000001,England,State-funded secondary,,First_language_Known_or_believed_to_be_other_than_English,,472510,161447705,7521743,5066694,2455049,4.7,3.1,1.5,51305,10.9,15493236,2689279,1422457,1266822,17.4,9.2,8.2,3442469,468962,435714,80235,561,66922,.,182622,367270,5044755,566307,77552,1604193,199950,2448002,7492757
six half terms,201617,National,E92000001,England,State-funded secondary,,First_language_Unclassified,,8985,2796867,153539,99875,53664,5.5,3.6,1.9,1525,17,371204,73822,38581,35241,19.9,10.4,9.5,69742,8766,4170,1061,19,938,.,5082,9612,99390,7481,1864,39215,4993,53553,152943
six half terms,201617,National,E92000001,England,Special,,Total,,94295,32852920,3196449,2514099,682350,9.7,7.7,2.1,26850,28.5,8909268,2250524,1661675,588849,25.3,18.7,6.6,1399405,356997,22208,7137,3512,115740,.,60712,523221,2488932,56810,32368,553136,31305,673619,3162551
six half terms,201617,National,E92000001,England,Special,,Gender_male,,69070,24044272,2326200,1771087,555113,9.7,7.4,2.3,19285,27.9,6375870,1634348,1151137,483211,25.6,18.1,7.6,965305,233725,14807,6209,2856,82570,.,54986,392905,1753363,40534,23845,460772,22943,548094,2301457
six half terms,201617,National,E92000001,England,Special,,Gender_female,,25225,8808648,870249,743012,127237,9.9,8.4,1.4,7560,30,2533398,616176,510538,105638,24.3,20.2,4.2,434100,123272,7401,928,656,33170,.,5726,130316,735569,16276,8523,92364,8362,125525,861094
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Major_White_Total,,70010,24423456,2376481,1837838,538643,9.7,7.5,2.2,19575,28,6485578,1673038,1203999,469039,25.8,18.6,7.2,1010248,257216,979,6222,3343,84580,.,47910,408172,1818670,37694,22392,449202,22480,531768,2350438
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_White_British,,65855,22970463,2207467,1706976,500491,9.6,7.4,2.2,18145,27.6,6007571,1546817,1111469,435348,25.7,18.5,7.2,936668,237160,662,6140,1145,77753,.,46130,382646,1688304,35114,20845,418186,19649,493794,2182098
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Irish,,265,89506,13100,8246,4854,14.6,9.2,5.4,100,37.1,31551,10575,5954,4621,33.5,18.9,14.6,4500,1125,6,0,328,295,.,177,1783,8214,52,219,4352,231,4854,13068
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Traveller_of_Irish_heritage,,120,40238,11043,6419,4624,27.4,16,11.5,80,66.1,25843,10411,5938,4473,40.3,23,17.3,2030,476,24,0,1391,82,.,239,2177,6419,112,112,4242,158,4624,11043
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Gypsy_Roma,,360,118660,24369,14894,9475,20.5,12.6,8,205,57.5,65418,21656,12606,9050,33.1,19.3,13.8,7049,1691,15,16,436,452,.,228,4843,14730,331,153,8368,510,9362,24092
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Any_other_white_background,,3415,1204589,120502,101303,19199,10,8.4,1.6,1050,30.7,355195,83579,68032,15547,23.5,19.2,4.4,60001,16764,272,66,43,5998,.,1136,16723,101003,2085,1063,14054,1932,19134,120137
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Major_Mixed_Total,,5380,1871038,187468,142841,44627,10,7.6,2.4,1610,29.9,531950,134621,95643,38978,25.3,18,7.3,75302,19100,1112,373,5,6748,.,5534,33219,141393,3058,2594,36621,1881,44154,185547
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_White_and_Black_Caribbean,,1690,581082,61953,44360,17593,10.7,7.6,3,575,34,187173,46435,30820,15615,24.8,16.5,8.3,22770,5595,17,237,0,1671,.,2782,11051,44123,652,1094,15097,609,17452,61575
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_White_and_Black_African,,710,248633,21714,17040,4674,8.7,6.9,1.9,170,24.3,56385,14621,10643,3978,25.9,18.9,7.1,8998,2586,103,41,3,579,.,325,4322,16957,297,256,4002,102,4657,21614
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_White_and_Asian,,940,330072,31555,25258,6297,9.6,7.7,1.9,255,27.1,86205,21751,16278,5473,25.2,18.9,6.3,14636,3694,395,18,0,1724,.,373,4023,24863,663,411,4824,226,6124,30987
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Any_other_Mixed_background,,2040,711251,72246,56183,16063,10.2,7.9,2.3,605,29.8,202187,51814,37902,13912,25.6,18.7,6.9,28898,7225,597,77,2,2774,.,2054,13823,55450,1446,833,12698,944,15921,71371
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Major_Asian_Total,,8945,3160989,339885,300358,39527,10.8,9.5,1.3,3070,34.3,1075244,244657,213366,31291,22.8,19.8,2.9,185338,45261,15478,132,16,14319,.,1067,35331,296942,9906,3506,22779,2636,38827,335769
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Indian,,1635,582708,51284,45630,5654,8.8,7.8,1,465,28.3,158905,34204,29682,4522,21.5,18.7,2.8,26356,8458,879,12,6,3144,.,157,6393,45405,993,591,3765,294,5643,51048
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Pakistani,,4285,1498166,176705,156221,20484,11.8,10.4,1.4,1615,37.6,565049,131954,115724,16230,23.4,20.5,2.9,96357,22938,10491,51,2,6397,.,455,17983,154674,6593,1571,10975,1121,20260,174934
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Bangladeshi,,1495,540538,60256,52744,7512,11.1,9.8,1.4,535,35.9,192830,43441,37492,5949,22.5,19.4,3.1,33776,6907,2653,15,4,2174,.,194,5438,51161,1341,646,4318,772,7077,58238
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Any_other_Asian_background,,1525,539577,51640,45763,5877,9.6,8.5,1.1,455,29.9,158460,35058,30468,4590,22.1,19.2,2.9,28849,6958,1455,54,4,2604,.,261,5517,45702,979,698,3721,449,5847,51549
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Major_Black_Total,,6535,2304694,176956,141949,35007,7.7,6.2,1.5,1430,21.9,473820,112148,83960,28188,23.7,17.7,5.9,78544,21990,2935,200,2,5419,.,4596,28049,141735,3414,2558,26419,2541,34932,176667
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Black_Caribbean,,1490,507782,49215,34605,14610,9.7,6.8,2.9,435,29.3,139291,36280,23458,12822,26,16.8,9.2,16123,4224,48,115,0,1115,.,2705,10248,34578,925,924,12266,485,14600,49178
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Black_African,,4015,1434963,96877,82110,14767,6.8,5.7,1,735,18.4,250222,55324,44299,11025,22.1,17.7,4.4,49349,13833,2686,15,0,3415,.,1040,11717,82055,2145,1059,9973,1559,14736,96791
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minor_Any_other_black_background,,1030,361949,30864,25234,5630,8.5,7,1.6,255,25,84307,20544,16203,4341,24.4,19.2,5.1,13072,3933,201,70,2,889,.,851,6084,25102,344,575,4180,497,5596,30698
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Major_Chinese,,295,106625,6189,5288,901,5.8,5,0.8,40,14.2,14408,3080,2438,642,21.4,16.9,4.5,3108,1017,2,0,0,562,.,0,585,5274,363,76,411,50,900,6174
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Major_Any_Other_Ethnic_Group,,1460,512842,50426,41445,8981,9.8,8.1,1.8,475,32.5,161817,35556,28063,7493,22,17.3,4.6,24697,6960,1358,25,144,2393,.,323,5361,41261,1562,526,6203,675,8966,50227
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Minority_Ethnic_Group,,26765,9409181,929938,762743,167195,9.9,8.1,1.8,8055,30.1,2735246,656283,516000,140283,24,18.9,5.1,440569,114384,21202,812,2365,36268,.,13300,128071,756971,20883,10807,123449,10614,165753,922724
six half terms,201617,National,E92000001,England,Special,,Ethnicity_Major_Unclassified,,1675,473276,59044,44380,14664,12.5,9.4,3.1,650,38.7,166451,47424,34206,13218,28.5,20.6,7.9,22168,5453,344,185,2,1719,.,1282,12504,43657,813,716,11501,1042,14072,57729
six half terms,201617,National,E92000001,England,Special,,NC_Year_1_and_below,,5255,1881114,180205,166271,13934,9.6,8.8,0.7,1645,31.3,584681,120900,110449,10451,20.7,18.9,1.8,110715,24857,1595,12,169,9568,.,45,18915,165876,2848,1608,8192,1257,13905,179781
six half terms,201617,National,E92000001,England,Special,,NC_Year_2,,5870,2112872,180758,163050,17708,8.6,7.7,0.8,1540,26.2,545995,112800,100020,12780,20.7,18.3,2.3,107122,24804,2034,3,64,9472,.,295,18775,162569,3898,1752,10867,1126,17643,180212
six half terms,201617,National,E92000001,England,Special,,NC_Year_3,,6670,2395141,196854,174285,22569,8.2,7.3,0.9,1645,24.7,577455,120437,104162,16275,20.9,18,2.8,111033,26899,2016,4,252,10779,.,797,21465,173245,5067,1916,13977,1533,22493,195738
six half terms,201617,National,E92000001,England,Special,,NC_Year_4,,7035,2539018,201439,174302,27137,7.9,6.9,1.1,1660,23.6,581096,121599,101439,20160,20.9,17.5,3.5,109201,28960,1946,12,119,10607,.,2062,20875,173782,4620,2577,18007,1834,27038,200820
six half terms,201617,National,E92000001,England,Special,,NC_Year_5,,7340,2620913,212637,180098,32539,8.1,6.9,1.2,1740,23.7,599786,132086,107199,24887,22,17.9,4.1,107340,28554,2160,1,179,10401,.,3005,27623,179263,4375,2332,23096,2405,32208,211471
six half terms,201617,National,E92000001,England,Special,,NC_Year_6,,7665,2751137,224487,188075,36412,8.2,6.8,1.3,1815,23.7,630330,140808,112912,27896,22.3,17.9,4.4,109692,28695,2220,1,385,9635,.,4235,32222,187085,5167,2363,26665,1956,36151,223236
six half terms,201617,National,E92000001,England,Special,,NC_Year_7,,10550,3766164,320891,258038,62853,8.5,6.9,1.7,2615,24.8,891979,212342,160672,51670,23.8,18,5.8,145316,35993,2238,30,512,12417,.,7753,50588,254847,5813,2976,49352,3463,61604,316451
six half terms,201617,National,E92000001,England,Special,,NC_Year_8,,10690,3779878,357640,277782,79858,9.5,7.3,2.1,3000,28.1,1004583,252206,184289,67917,25.1,18.3,6.8,146236,41392,2252,46,210,12048,.,10164,61834,274182,7134,3060,66218,2782,79194,353376
six half terms,201617,National,E92000001,England,Special,,NC_Year_9,,10770,3805596,413275,296823,116452,10.9,7.8,3.1,3410,31.6,1141882,312299,207914,104385,27.3,18.2,9.1,151517,39691,2281,67,319,11502,.,12483,74340,292200,7203,4172,99877,4031,115283,407483
six half terms,201617,National,E92000001,England,Special,,NC_Year_10,,10585,3753534,458036,323394,134642,12.2,8.6,3.6,3565,33.7,1204338,360868,237579,123289,30,19.7,10.2,152788,39352,1987,292,537,11416,.,12745,98773,317890,5968,4652,116521,4795,131936,449826
six half terms,201617,National,E92000001,England,Special,,NC_Year_11,,10440,3083183,418239,285067,133172,13.6,9.2,4.3,3720,35.6,1065492,343138,218030,125108,32.2,20.5,11.7,133113,33702,1270,6642,759,6735,.,6845,92053,281119,4246,4485,116927,5442,131100,412219
six half terms,201617,National,E92000001,England,Special,,NC_Year_12_and_above,,30,7943,1083,910,173,13.6,11.5,2.2,10,40,3009,926,787,139,30.8,26.2,4.6,482,96,0,0,0,8,.,0,285,871,0,18,91,54,163,1034
six half terms,201617,National,E92000001,England,Special,,NC_Year_Not_followed_or_missing,,1385,356427,30905,26004,4901,8.7,7.3,1.4,475,34.4,78642,20115,16223,3892,25.6,20.6,4.9,14850,4002,209,27,7,1152,.,283,5473,26003,471,457,3346,627,4901,30904
six half terms,201617,National,E92000001,England,Special,,FSM_eligible,,34940,12216779,1360538,989985,370553,11.1,8.1,3,11710,33.5,3954425,1018553,689457,329096,25.8,17.4,8.3,548490,129346,7428,3599,1779,34240,.,32015,224490,981387,21986,16012,313232,15584,366814,1348201
six half terms,201617,National,E92000001,England,Special,,FSM_Not_eligible,,58920,20622563,1830311,1520617,309694,8.9,7.4,1.5,14860,25.2,4945866,1226466,968794,257672,24.8,19.6,5.2,850076,227473,14776,3538,1727,81492,.,28511,296455,1504048,34814,16345,237950,15593,304702,1808750
six half terms,201617,National,E92000001,England,Special,,FSM_unclassified,,430,13578,5600,3497,2103,41.2,25.8,15.5,280,64.5,8977,5505,3424,2081,61.3,38.1,23.2,839,178,4,0,6,8,.,186,2276,3497,10,11,1954,128,2103,5600
six half terms,201617,National,E92000001,England,Special,,FSM_eligible_in_last_6_years,,48795,17001477,1873463,1365877,507586,11,8,3,15965,32.7,5348429,1397214,947403,449811,26.1,17.7,8.4,734954,178357,10430,5054,2135,49544,.,45897,324673,1351044,31026,21080,426788,22035,500929,1851973
six half terms,201617,National,E92000001,England,Special,,FSM_not_eligible_in_last_6_years,,44280,15711974,1285324,1122572,162752,8.2,7.1,1,10170,23,3483316,817907,690574,127333,23.5,19.8,3.7,656386,176762,11676,2015,1226,65628,.,13162,185705,1112560,25468,10944,115999,8480,160891,1273451
six half terms,201617,National,E92000001,England,Special,,FSM_unclassified_in_last_6_years,,1220,139469,37662,25650,12012,27,18.4,8.6,710,58.4,77523,35403,23698,11705,45.7,30.6,15.1,8065,1878,102,68,151,568,.,1653,12843,25328,316,344,10349,790,11799,37127
six half terms,201617,National,E92000001,England,Special,,SEN_provision_No_identified_SEN,,170,42506,18220,17207,1013,42.9,40.5,2.4,135,77.3,31305,17682,16771,911,56.5,53.6,2.9,3888,774,25,0,0,65,.,5,12450,17207,63,179,757,14,1013,18220
six half terms,201617,National,E92000001,England,Special,,SEN_provision_Statement_or_EHCP,,91180,32115171,3033065,2390542,642523,9.4,7.4,2,25120,27.5,8527438,2103168,1551869,551299,24.7,18.2,6.5,1359154,347103,21753,6681,3339,113292,.,57126,457917,2366365,55273,30319,518165,30186,633943,3000308
six half terms,201617,National,E92000001,England,Special,,SEN_provision_SEN_Support,,2525,683964,140071,103163,36908,20.5,15.1,5.4,1330,52.6,342721,124650,89904,34746,36.4,26.2,10.1,35584,8956,426,456,167,2381,.,3395,50808,102173,1464,1863,32411,1019,36757,138930
six half terms,201617,National,E92000001,England,Special,,SEN_provision_Unclassified,,415,11279,5093,3187,1906,45.2,28.3,16.9,270,64.4,7804,5024,3131,1893,64.4,40.1,24.3,779,164,4,0,6,2,.,186,2046,3187,10,7,1803,86,1906,5093
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Autistic_spectrum_disorder,,25020,8980385,645247,525929,119318,7.2,5.9,1.3,4820,19.3,1662498,374600,280130,94470,22.5,16.8,5.7,325280,57212,5634,476,1004,31922,.,6148,90969,518645,15560,7797,86631,7771,117759,636404
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Hearing_impairment,,885,307968,23868,19674,4194,7.8,6.4,1.4,230,26.1,78421,14319,11048,3271,18.3,14.1,4.2,10869,5114,584,215,0,849,.,370,1627,19628,602,122,2678,620,4022,23650
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Moderate_learning_difficulty,,13945,4879812,364924,290421,74503,7.5,6,1.5,3080,22.1,1042037,219069,161220,57849,21,15.5,5.6,176279,47211,2573,361,713,13915,.,5227,41819,288098,9233,4566,55032,4496,73327,361425
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Multi-sensory_impairment,,180,64417,7043,6733,310,10.9,10.5,0.5,60,33.1,21224,4953,4746,207,23.3,22.4,1,3678,1390,90,0,2,186,.,2,1355,6703,26,56,174,54,310,7013
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_No_specialist_assessment,,120,37284,6265,3892,2373,16.8,10.4,6.4,60,48.4,16674,5381,3170,2211,32.3,19,13.3,1277,250,5,187,0,87,.,420,1666,3892,100,66,2195,12,2373,6265
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Other_difficulty/disability,,1460,498571,60301,49615,10686,12.1,10,2.1,490,33.7,157214,46060,36838,9222,29.3,23.4,5.9,22444,6766,259,226,20,1758,.,642,17106,49221,799,719,7853,1160,10531,59752
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Physical_disability,,2820,1004225,124339,115466,8873,12.4,11.5,0.9,1170,41.5,414087,95880,88492,7388,23.2,21.4,1.8,66548,26687,1135,20,111,4342,.,158,14304,113305,1229,929,5662,927,8747,122052
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Profound_and_multiple_learning_difficulty,,6425,2348494,373960,352937,21023,15.9,15,0.9,3135,48.8,1142288,315794,297228,18566,27.6,26,1.6,223682,61006,3013,4,86,10608,.,63,52987,351449,3317,2468,13375,1752,20912,372361
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Social_emotional_and_mental_health,,14075,4606134,774455,448779,325676,16.8,9.7,7.1,6435,45.7,2036980,668603,363859,304744,32.8,17.9,15,151391,35516,578,5285,857,8939,.,41488,197202,441256,9331,7060,298953,6348,321692,762948
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Speech_language_and_communications_needs,,6255,2195090,147697,120034,27663,6.7,5.5,1.3,1250,20,425300,81619,60924,20695,19.2,14.3,4.9,73015,19041,1374,143,105,7410,.,1515,15969,118572,3979,2033,19292,1630,26934,145506
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Severe_learning_difficulty,,19385,7073346,541135,481007,60128,7.7,6.8,0.9,4440,22.9,1600173,319454,274716,44738,20,17.2,2.8,302745,84414,6199,26,455,32323,.,1721,51675,479558,11001,5314,38195,5309,59819,539377
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Specific_learning_difficulty,,1400,475001,45271,34869,10402,9.5,7.3,2.2,405,29.1,131614,31681,22637,9044,24.1,17.2,6.9,20198,5451,320,104,0,1851,.,1084,5548,34556,912,611,8407,317,10247,44803
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Visual_impairment,,520,181974,18148,16746,1402,10,9.2,0.8,165,31.9,57893,12406,11301,1105,21.4,19.5,1.9,9234,3882,307,8,2,875,.,26,2067,16401,313,91,893,69,1366,17767
six half terms,201617,National,E92000001,England,Special,,SEN_primary_need_Unclassified,,1210,146434,40483,27603,12880,27.6,18.9,8.8,705,58.1,83756,37999,25464,12535,45.4,30.4,15,8098,2119,108,82,151,608,.,1657,14431,27254,335,350,11236,740,12661,39915
six half terms,201617,National,E92000001,England,Special,,First_language_Known_or_believed_to_be_English,,80145,27877758,2690307,2078540,611767,9.7,7.5,2.2,22295,27.8,7349197,1891623,1359335,532288,25.7,18.5,7.2,1135044,288354,5901,6873,3359,93405,.,58408,465410,2056754,42755,27654,508583,24986,603978,2660732
six half terms,201617,National,E92000001,England,Special,,First_language_Known_or_believed_to_be_other_than_English,,13930,4905665,496252,428499,67753,10.1,8.7,1.4,4460,32,1533300,350680,296764,53916,22.9,19.4,3.5,260343,67695,16187,158,153,22083,.,2243,56384,425246,13886,4440,42845,5676,66847,492093
six half terms,201617,National,E92000001,England,Special,,First_language_Unclassified,,220,69497,9890,7060,2830,14.2,10.2,4.1,95,43.4,26771,8221,5576,2645,30.7,20.8,9.9,4018,948,120,106,0,252,.,61,1427,6932,169,274,1708,643,2794,9726
six half terms,201516,National,E92000001,England,Total,,Total,,6737190,2398192098,109518001,82419310,27098691,4.6,3.4,1.1,707390,10.5,227714309,40078015,25507666,14570349,17.6,11.2,6.4,62335171,6945736,2077011,640434,263153,1707882,.,1688237,6232025,81889649,7303957,1555370,16383252,1689369,26931948,108821597
six half terms,201516,National,E92000001,England,Total,,Gender_male,,3443920,1225468702,56254699,42377684,13877015,4.6,3.5,1.1,364245,10.6,117220832,20821117,13295627,7525490,17.8,11.3,6.4,31603815,3469337,1076306,349533,133640,876948,.,1267493,3322399,42099471,3682743,808692,8435799,862295,13789529,55889000
six half terms,201516,National,E92000001,England,Total,,Gender_female,,3293270,1172723396,53263302,40041626,13221676,4.5,3.4,1.1,343145,10.4,110493477,19256898,12212039,7044859,17.4,11.1,6.4,30731356,3476399,1000705,290901,129513,830934,.,420744,2909626,39790178,3621214,746678,7947453,827074,13142419,52932597
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Major_White_Total,,5064615,1815442291,83998206,63592819,20405387,4.6,3.5,1.1,542530,10.7,177093819,31755676,20349971,11405705,17.9,11.5,6.4,49410750,5441837,135571,478947,256745,1315787,.,1302667,4801407,63143711,5359214,1148701,12556821,1200806,20265542,83409253
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_White_British,,4628715,1664265612,75810357,57914937,17895420,4.6,3.5,1.1,480080,10.4,157991248,28308660,18373358,9935302,17.9,11.6,6.3,45169375,5001673,59858,450345,94030,1183643,.,1210125,4337695,57506744,4786934,1050316,10909629,1024881,17771760,75278504
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_Irish,,19845,6999459,367420,272996,94424,5.2,3.9,1.3,2745,13.8,863173,162319,97105,65214,18.8,11.2,7.6,202587,24166,591,3010,5047,4615,.,4890,26362,271268,14195,6166,65779,7801,93941,365209
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_Traveller_of_Irish_heritage,,5770,1727171,308843,167263,141580,17.9,9.7,8.2,3645,63.2,1023234,273055,142702,130353,26.7,13.9,12.7,71008,6555,600,102,61290,1297,.,5161,20539,166552,8208,7556,115764,8810,140338,306890
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_Gypsy_Roma,,24600,7748386,985364,508623,476741,12.7,6.6,6.2,11810,48,3511882,774313,377996,396317,22,10.8,11.3,298689,29651,1349,1020,91342,3064,.,22663,56336,504114,48633,15794,380651,29497,474575,978689
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_Any_other_white_background,,385690,134701663,6526222,4729000,1797222,4.8,3.5,1.3,44245,11.5,13704282,2237329,1358810,878519,16.3,9.9,6.4,3669091,379792,73173,24470,5036,123168,.,59828,360475,4695033,501244,68869,1084998,129817,1784928,6479961
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Major_Mixed_Total,,357065,126454653,6122888,4448172,1674716,4.8,3.5,1.3,43145,12.1,13766229,2417480,1455140,962340,17.6,10.6,7,3309922,361993,115477,35231,1158,95102,.,119595,389219,4427697,338501,144601,1074457,110094,1667653,6095350
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_White_and_Black_Caribbean,,100060,35344598,1971965,1348799,623166,5.6,3.8,1.8,15725,15.7,5056745,915503,522161,393342,18.1,10.3,7.8,1020138,108747,3145,8448,149,19125,.,55518,129016,1344286,91517,60023,429700,40074,621314,1965600
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_White_and_Black_African,,47195,16653813,724384,529651,194733,4.3,3.2,1.2,4795,10.2,1498520,257889,156682,101207,17.2,10.5,6.8,394465,44491,13276,3075,89,11138,.,13196,46819,526549,39302,17575,122654,13964,193495,720044
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_White_and_Asian,,81895,29249708,1294391,996413,297978,4.4,3.4,1,8125,9.9,2607139,442073,283763,158310,17,10.9,6.1,732763,80294,46377,9963,260,26873,.,15408,79029,990967,82968,20601,176369,16371,296309,1287276
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_Any_other_Mixed_background,,127920,45206534,2132148,1573309,558839,4.7,3.5,1.2,14505,11.3,4603825,802015,492534,309481,17.4,10.7,6.7,1162556,128461,52679,13745,660,37966,.,35473,134355,1565895,124714,46402,345734,39685,556535,2122430
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Major_Asian_Total,,701510,247867820,11386961,8620283,2766678,4.6,3.5,1.1,68025,9.7,21981392,3332837,2170796,1162041,15.2,9.9,5.3,5765888,610686,1361696,75009,345,178218,.,78292,508077,8578211,1112646,101968,1368508,172331,2755453,11333664
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_Indian,,187175,66007886,2401600,1908316,493284,3.6,2.9,0.7,11460,6.1,3551029,534318,371982,162336,15,10.5,4.6,1375905,148428,139560,29413,44,60338,.,9555,135704,1898947,235432,17970,206397,30132,489931,2388878
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_Pakistani,,286565,101295056,5420851,3966187,1454664,5.4,3.9,1.4,36105,12.6,11859666,1808489,1139040,669449,15.2,9.6,5.6,2514011,267325,828037,22986,168,60581,.,46397,206002,3945507,590815,49431,726165,83901,1450312,5395819
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_Bangladeshi,,112130,39996559,1993974,1532331,461643,5,3.8,1.2,11830,10.6,3948335,587071,390757,196314,14.9,9.9,5,1050370,96700,269223,5926,36,21170,.,13125,68241,1524791,144069,20248,265406,29480,459203,1983994
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Minor_Any_other_Asian_background,,115645,40568319,1570536,1213449,357087,3.9,3,0.9,8630,7.5,2622362,402959,269017,133942,15.4,10.3,5.1,825602,98233,124876,16684,97,36129,.,9215,98130,1208966,142330,14319,170540,28818,356007,1564973
six half terms,201516,National,E92000001,England,Total,,Ethnicity_Major_Black_Total,,380350,133033679,4547588,3290222,1257366,3.4,2.5,0.9,26555,7,7792950,1326268,793657,532611,17,10.2,6.8,2179253,312925,261786,28623,187,52009,.,140093,310098,3284974,227199,112456,783983,130988,1254626,4539600
